name,type,assembly_index,domain,first_appearance,organism_examples,description,components,estimated_complexity
Ribosome,molecular_machine,5000,biological,3.8_Gyr_ago,All cellular life,Protein synthesis machinery,rRNA+ribosomal_proteins,~80 proteins + 3-4 rRNAs
DNA polymerase,enzyme,4000,biological,3.8_Gyr_ago,All cellular life,DNA replication enzyme,Protein complex,~500-1000 amino acids
RNA polymerase,enzyme,6000,biological,3.8_Gyr_ago,All cellular life,RNA synthesis enzyme,Multi-subunit protein,~1400 amino acids
ATP synthase,molecular_motor,8000,biological,3.5_Gyr_ago,All cellular life,ATP production machine,F0F1 complex,~1650 amino acids total
Photosystem II,protein_complex,10000,biological,3.4_Gyr_ago,Cyanobacteria+plants,Water-splitting photosystem,~20 protein subunits,~350 kDa complex
Photosystem I,protein_complex,9000,biological,3.4_Gyr_ago,Cyanobacteria+plants,NADPH production system,~20 protein subunits,~300 kDa complex
Bacterial flagellum,motility_system,30000,biological,3.0_Gyr_ago,Many bacteria,Rotating molecular motor,~50 different proteins,Type III secretion system
Bacterial cell wall,structural_system,5000,biological,3.5_Gyr_ago,Most bacteria,Protective peptidoglycan layer,Peptidoglycan+associated_proteins,Cross-linked polymer network
Bacterial chromosome,genetic_system,500000,biological,3.8_Gyr_ago,All bacteria,Circular DNA genome,DNA+nucleoid_proteins,1-10 million base pairs
Bacterial plasmid,genetic_element,10000,biological,3.0_Gyr_ago,Many bacteria,Autonomous DNA element,Circular DNA,1000-100000 base pairs
Virus capsid,structural_system,50000,biological,3.5_Gyr_ago,All viruses,Protein shell for genome,Capsid proteins,20-2000 proteins
Bacteriophage,viral_system,100000,biological,3.0_Gyr_ago,Bacterial viruses,Bacterial infection system,DNA/RNA+capsid+tail,Complex assembly machine
Cell membrane,barrier_system,10000,biological,3.8_Gyr_ago,All cells,Lipid bilayer boundary,Phospholipids+membrane_proteins,~1000 different lipids/proteins
