name,chemical_formula,assembly_index,domain,molecular_mass,first_appearance,description,components,assembly_pathway
Hydrogen atom,H,2,cosmic,1.008,13.7_Gyr_ago,Simplest atom in universe,proton+electron,Big Bang nucleosynthesis
Helium atom,He,2,cosmic,4.003,13.7_Gyr_ago,Second lightest noble gas,2_protons+2_neutrons+2_electrons,Big Bang nucleosynthesis
Lithium atom,Li,3,cosmic,6.941,13.7_Gyr_ago,Lightest metal,3_protons+4_neutrons+3_electrons,Big Bang + stellar
Carbon atom,C,6,cosmic,12.011,13.0_Gyr_ago,Foundation of organic chemistry,6_protons+6_neutrons+6_electrons,Triple-alpha process
Nitrogen atom,N,7,cosmic,14.007,12.5_Gyr_ago,Essential for amino acids,7_protons+7_neutrons+7_electrons,CNO cycle
Oxygen atom,O,8,cosmic,15.999,12.5_Gyr_ago,Highly reactive oxidizer,8_protons+8_neutrons+8_electrons,Alpha process
Fluorine atom,F,9,cosmic,18.998,12.0_Gyr_ago,Most electronegative element,9_protons+10_neutrons+9_electrons,Alpha process
Neon atom,Ne,10,cosmic,20.180,12.0_Gyr_ago,Noble gas in stellar cores,10_protons+10_neutrons+10_electrons,Alpha process
Water,H2O,3,cosmic,18.015,13.4_Gyr_ago,Universal solvent,hydrogen+oxygen,Molecular cloud chemistry
Carbon monoxide,CO,12,cosmic,28.010,13.0_Gyr_ago,Common interstellar molecule,carbon+oxygen,Gas phase reactions
Carbon dioxide,CO2,15,cosmic,44.010,12.0_Gyr_ago,Greenhouse gas,carbon+2_oxygen,Combustion/respiration
Methane,CH4,12,cosmic,16.043,12.0_Gyr_ago,Simplest hydrocarbon,carbon+4_hydrogen,Hydrogenation reactions
Ammonia,NH3,10,cosmic,17.031,12.0_Gyr_ago,Nitrogen source for biology,nitrogen+3_hydrogen,Gas phase chemistry
Hydrogen sulfide,H2S,8,cosmic,34.082,12.0_Gyr_ago,Reducing gas in early atmospheres,sulfur+2_hydrogen,Volcanic outgassing
Formaldehyde,CH2O,15,cosmic,30.026,11.0_Gyr_ago,Organic precursor molecule,carbon+2_hydrogen+oxygen,Gas phase organic chemistry
Acetylene,C2H2,18,cosmic,26.038,10.0_Gyr_ago,Hydrocarbon building block,2_carbon+2_hydrogen,High temperature chemistry
