name,type,assembly_index,domain,invention_date,inventor_culture,description,components,complexity_estimate
Stone tool,tool,1000,technological,3.3_Myr_ago,Early hominins,Shaped stone implement,Stone+knapping_technique,Simple tool
Spear,weapon,5000,technological,400_kyr_ago,Homo heidelbergensis,Hunting projectile,Wooden_shaft+stone_point+binding,Composite tool
Bow and arrow,weapon_system,20000,technological,65_kyr_ago,Modern humans,Projectile weapon system,Bow+arrows+string+fletching,Precision weapon system
Wheel,machine_component,30000,technological,5500_years_ago,Mesopotamians,Rotating transport aid,Wood/stone_disc+axle+bearing,Revolutionary transport
Lever,simple_machine,5000,technological,Ancient,Multiple cultures,Force multiplication tool,Rigid_bar+fulcrum+effort+load,Mechanical advantage
Pulley,simple_machine,15000,technological,Ancient,Greeks/Romans,Lifting mechanism,Wheel+rope+mounting,Compound machine
Screw,simple_machine,25000,technological,Ancient,Greeks,Threaded fastener,Helical_thread+shaft+head,Precise mechanism
Water wheel,power_system,100000,technological,2000_years_ago,Romans/Chinese,Water-powered mill,Wheel+paddles+axle+gearing,Power conversion
Windmill,power_system,150000,technological,1000_years_ago,Europeans,Wind-powered mill,Blades+tower+gearing+millstones,Wind power system
Printing press,information_system,500000,technological,1450_CE,Gutenberg,Movable type printing,Press+type+ink+paper_feed,Information revolution
Clock,precision_instrument,1000000,technological,1300_CE,Europeans,Mechanical timekeeper,Escapement+gears+springs+dial,Precision timekeeping
Steam engine,power_system,10000000,technological,1712_CE,Newcomen/Watt,Heat-to-work converter,Boiler+piston+cylinder+condenser,Industrial power
Locomotive,transport_system,50000000,technological,1804_CE,Trevithick,Steam-powered transport,Steam_engine+wheels+rails+cars,Transportation revolution
Telegraph,communication_system,5000000,technological,1844_CE,Morse,Electrical communication,Wire+key+receiver+code,Long-distance communication
Telephone,communication_device,20000000,technological,1876_CE,Bell,Voice communication,Microphone+speaker+switching+wires,Voice transmission
Light bulb,electrical_device,100000,technological,1879_CE,Edison,Electrical illumination,Filament+glass+base+electrical,Electric lighting
Electric motor,power_system,5000000,technological,1886_CE,Tesla,Electrical to mechanical,Stator+rotor+commutator+brushes,Electric power conversion
Automobile,transport_system,100000000,technological,1885_CE,Benz,Personal motor vehicle,Engine+chassis+wheels+controls,Personal transportation
Airplane,transport_system,500000000,technological,1903_CE,Wright Brothers,Powered flight machine,Wings+engine+propeller+controls,Aviation technology
